"ГОСТ ISO/IEC 19788-5-2015 Информационные технологии. Обучение, образование и подготовка. Метаданные для образовательных ресурсов. Часть 5. Образовательные элементы",ГОСТ от 26 апреля 2016 года №ISO/IEC 19788-5-2015
"ГОСТ ISO/IEC 19788-3-2015 Информационные технологии. Обучение, образование и подготовка. Метаданные для образовательных ресурсов. Часть 3. Основной профиль применения",ГОСТ от 26 апреля 2016 года №ISO/IEC 19788-3-2015
"ГОСТ ISO/IEC 12785-2-2015 Информационные технологии. Обучение, образование и подготовка. Упаковка контента. Часть 2. XML привязка",ГОСТ от 26 апреля 2016 года №ISO/IEC 12785-2-2015
"ГОСТ ISO/IEC 19788-5-2015 Информационные технологии. Обучение, образование и подготовка. Метаданные для образовательных ресурсов. Часть 5. Образовательные элементы",ГОСТ от 26 апреля 2016 года №ISO/IEC 19788-5-2015
"ГОСТ ISO/IEC 19788-3-2015 Информационные технологии. Обучение, образование и подготовка. Метаданные для образовательных ресурсов. Часть 3. Основной профиль применения",ГОСТ от 26 апреля 2016 года №ISO/IEC 19788-3-2015
"ГОСТ ISO/IEC 12785-2-2015 Информационные технологии. Обучение, образование и подготовка. Упаковка контента. Часть 2. XML привязка",ГОСТ от 26 апреля 2016 года №ISO/IEC 12785-2-2015
"ГОСТ Р ИСО/МЭК 24730-2-2016 Информационные технологии. Системы позиционирования в реальном времени (RTLS). Часть 2. Протокол радиоинтерфейса для связи на частоте 2,4 ГГц с использованием расширения спектра методом прямой последовательности (DSSS)",ГОСТ Р от 19 апреля 2016 года №ИСО/МЭК 24730-2-2016
"ГОСТ Р ИСО/МЭК 24730-2-2016 Информационные технологии. Системы позиционирования в реальном времени (RTLS). Часть 2. Протокол радиоинтерфейса для связи на частоте 2,4 ГГц с использованием расширения спектра методом прямой последовательности (DSSS)",ГОСТ Р от 19 апреля 2016 года №ИСО/МЭК 24730-2-2016
ГОСТ Р ИСО 28560-3-2016 Информация и документация. Радиочастотная идентификация в библиотеках. Часть 3. Кодирование фиксированной длины,ГОСТ Р от 19 апреля 2016 года №ИСО 28560-3-2016
ГОСТ Р ИСО 28560-3-2016 Информация и документация. Радиочастотная идентификация в библиотеках. Часть 3. Кодирование фиксированной длины,ГОСТ Р от 19 апреля 2016 года №ИСО 28560-3-2016
"ГОСТ Р 56914-2016/ISO/IEC TR 18047-3:2011 Информационные технологии. Методы испытаний на соответствие устройств радиочастотной идентификации. Часть 3. Методы испытаний радиоинтерфейса для связи на частоте 13,56 МГц",ГОСТ Р от 18 апреля 2016 года №56914-2016
"ГОСТ Р 56914-2016/ISO/IEC TR 18047-3:2011 Информационные технологии. Методы испытаний на соответствие устройств радиочастотной идентификации. Часть 3. Методы испытаний радиоинтерфейса для связи на частоте 13,56 МГц",ГОСТ Р от 18 апреля 2016 года №56914-2016